date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-09-01,1303,129835537,31005102194,250.0,250.0,231.5,234.5,-8.0,110794
2026-09-02,1303,127824204,30793336784,240.0,248.0,232.0,237.5,3.0,106156
2026-09-03,1303,103990697,23734839689,243.0,244.5,219.5,221.0,-16.5,102382
2026-09-04,1303,67299234,15031119549,226.5,229.0,218.0,225.5,4.5,48266
2026-09-07,1303,75938138,17805322503,232.0,240.0,229.5,230.5,5.0,54652
2026-09-01,6770,151879084,10841368521,73.6,73.7,70.4,70.8,-2.2,92438
2026-09-02,6770,68830476,4839496873,70.1,71.4,69.2,70.4,-0.4,38548
2026-09-03,6770,115197089,8017595089,71.2,72.0,67.5,67.8,-2.6,72860
2026-09-04,6770,85248242,5807832780,69.3,70.0,67.0,68.5,0.7,47868
2026-09-07,6770,242829617,17517247534,70.0,73.5,69.3,72.9,4.4,122616
2026-09-01,7828,218096,391564860,1800.0,1845.0,1745.0,1810.0,45.0,3602
2026-09-02,7828,149082,265152390,1780.0,1810.0,1740.0,1760.0,-50.0,2360
2026-09-03,7828,234130,420047225,1770.0,1855.0,1720.0,1755.0,-5.0,1723
2026-09-04,7828,545115,1028108785,1810.0,1930.0,1775.0,1930.0,175.0,3283
2026-09-01,1815,69204401,8851657527,126.5,132.5,125.0,129.0,2.5,44797
2026-09-02,1815,122385247,16138390042,128.5,139.0,126.0,131.0,2.0,76983
2026-09-03,1815,121465413,15545831620,132.0,139.5,118.0,120.0,-11.0,74264
2026-09-04,1815,50628182,6007144066,125.5,126.0,114.0,118.5,-1.5,34687
2026-09-01,1519,3405950,2584589189,730.0,776.0,730.0,761.0,32.0,9130
2026-09-02,1519,1693169,1274999170,749.0,771.0,741.0,741.0,-20.0,7608
2026-09-03,1519,1340195,983322599,749.0,750.0,722.0,722.0,-19.0,7161
2026-09-04,1519,1702643,1261309624,730.0,755.0,724.0,746.0,24.0,5137
2026-09-07,1519,4407355,3360578279,767.0,786.0,739.0,739.0,-7.0,12092
2026-09-01,4979,2791344,1671555172,609.0,613.0,595.0,600.0,-9.0,4625
2026-09-02,4979,2764197,1693840678,600.0,624.0,600.0,624.0,24.0,5429
2026-09-03,4979,2780781,1671640376,633.0,635.0,572.0,572.0,-52.0,7191
2026-09-04,4979,19025771,11756152939,615.0,629.0,590.0,629.0,57.0,23070
2026-09-01,2409,107148029,2851258881,26.8,27.1,26.35,26.4,-0.25,39686
2026-09-02,2409,117900028,3136171220,26.2,27.15,26.05,26.4,0.0,39815
2026-09-03,2409,440835576,12220835535,26.9,28.85,26.55,26.55,0.15,120271
2026-09-04,2409,158253125,4252112854,27.35,27.65,26.35,26.8,0.25,56701
2026-09-07,2409,523099639,14905328316,26.95,29.45,26.7,28.7,1.9,150504
2026-09-01,2303,223238022,29639493155,127.5,136.5,127.0,132.5,3.5,122649
2026-09-02,2303,136331797,17497864073,131.5,133.0,126.0,126.0,-6.5,101127
2026-09-03,2303,139492332,17565846193,127.5,129.0,123.0,125.0,-1.0,75404
2026-09-04,2303,142867105,18470733693,128.5,131.0,126.5,130.0,5.0,72525
2026-09-07,2303,337408282,47497656106,134.5,143.0,134.0,143.0,13.0,156875
2026-09-01,2408,82818290,43473340780,551.0,551.0,516.0,518.0,-25.0,118403
2026-09-02,2408,52916302,27238426641,509.0,524.0,502.0,518.0,0.0,54380
2026-09-03,2408,123832867,62053039830,533.0,539.0,477.5,477.5,-40.5,204823
2026-09-04,2408,75118695,36433061345,490.5,496.0,470.0,496.0,18.5,83002
2026-09-07,2408,57088818,29517982313,519.0,525.0,508.0,517.0,21.0,63406
2026-09-01,3441,3261860,442289537,137.0,139.0,130.0,133.0,-3.0,3974
2026-09-02,3441,3995236,549428095,133.0,140.0,130.0,139.5,6.5,4729
2026-09-03,3441,3294148,449669852,142.0,144.0,130.0,130.0,-9.5,4200
2026-09-04,3441,4835765,671436939,134.0,143.0,129.5,143.0,13.0,5882
2026-09-01,8358,31423337,16932072341,541.0,564.0,525.0,526.0,-14.0,44009
2026-09-02,8358,6012553,3082845985,515.0,521.0,503.0,503.0,-23.0,20693
2026-09-03,8358,7890805,3855101378,513.0,514.0,470.0,470.0,-33.0,23797
2026-09-04,8358,4455967,2162756454,481.0,500.0,469.5,500.0,30.0,10738
